dz_code,prov_code,prov_name,city_name,n_persons,n_surnames,hhi,top1_surname,top1_share,top2_surname,top2_share,top3_surname,top3_share,top4_surname,top4_share,top5_surname,top5_share
5306,53,云南省,昭通市,14837,260,0.031824,王,0.085597,李,0.070634,杨,0.057963,陈,0.056413,刘,0.05365
5307,53,云南省,丽江市,4205,195,0.073827,和,0.184304,杨,0.136742,李,0.099168,王,0.065636,张,0.032342
5308,53,云南省,普洱市,11181,211,0.061245,李,0.189965,张,0.078794,王,0.066005,杨,0.062785,罗,0.057508
5309,53,云南省,临沧市,9015,197,0.071192,李,0.208319,杨,0.102718,罗,0.064559,张,0.059789,王,0.053245
5323,53,云南省,楚雄彝族自治州,11263,289,0.058682,李,0.180059,杨,0.097132,张,0.073515,王,0.053982,罗,0.039599
5325,53,云南省,红河哈尼族彝族自治州,16466,268,0.068881,李,0.212316,杨,0.078525,王,0.069416,张,0.059031,马,0.041297
5326,53,云南省,文山壮族苗族自治州,11356,233,0.04261,李,0.106464,王,0.092814,杨,0.073706,张,0.063138,陆,0.060497
5328,53,云南省,西双版纳傣族自治州,4533,146,0.294422,无,0.532098,李,0.068387,王,0.044783,张,0.037062,杨,0.035076
5329,53,云南省,大理白族自治州,15064,273,0.060309,杨,0.162042,李,0.116569,张,0.079527,罗,0.061405,赵,0.052443
5331,53,云南省,德宏傣族景颇族自治州,4254,208,0.037813,杨,0.14363,李,0.067936,张,0.045604,赵,0.03291,王,0.030795
5333,53,云南省,怒江傈僳族自治州,4186,294,0.044719,和,0.144529,李,0.114907,杨,0.043,余,0.034878,张,0.031295
5334,53,云南省,迪庆藏族自治州,2266,105,0.230353,无,0.454987,和,0.093116,余,0.080759,李,0.068844,杨,0.033539
5401,54,西藏自治区,拉萨市,3268,35,0.955855,无,0.977662,张,0.003366,李,0.002448,马,0.001836,王,0.001836
5421,54,西藏自治区,昌都地区,4866,24,0.98771,无,0.993835,李,0.000822,张,0.000617,刘,0.000411,五,0.000411
5422,54,西藏自治区,山南地区,2418,13,0.987635,无,0.993797,杨,0.001241,蒲,0.000827,何,0.000414,田,0.000414
5423,54,西藏自治区,日喀则地区,4459,41,0.954804,无,0.977125,李,0.00314,王,0.002467,张,0.001794,杨,0.001794
5424,54,西藏自治区,那曲地区,2629,2,0.99924,无,0.99962,李,0.00038,,,,,,
5425,54,西藏自治区,阿里地区,731,9,0.970166,无,0.984952,贾,0.004104,王,0.002736,徐,0.001368,范,0.001368
5426,54,西藏自治区,阿里地区,1098,1,1,无,1,,,,,,,,
6101,61,陕西省,西安市,19475,418,0.042188,王,0.107625,李,0.101823,张,0.092632,刘,0.065879,杨,0.041951
6102,61,陕西省,铜川市,3477,214,0.038238,王,0.106414,张,0.091746,李,0.078228,刘,0.056946,杨,0.049756
6103,61,陕西省,宝鸡市,12757,305,0.049046,王,0.120483,张,0.110606,李,0.104256,杨,0.055656,刘,0.050874
6104,61,陕西省,咸阳市,16131,339,0.043952,王,0.115988,张,0.110037,李,0.081458,刘,0.057281,杨,0.047548
6105,61,陕西省,渭南市,12777,291,0.044503,王,0.120607,张,0.09204,李,0.08531,刘,0.066369,杨,0.063239
6106,61,陕西省,延安市,12352,252,0.046055,王,0.10727,李,0.096745,刘,0.093912,张,0.087354,杨,0.040155
6107,61,陕西省,汉中市,12275,311,0.036404,王,0.089939,张,0.087739,李,0.076986,刘,0.059226,陈,0.056782
6108,61,陕西省,榆林市,9704,206,0.047839,刘,0.103256,王,0.098413,张,0.092848,李,0.088005,高,0.065643
6109,61,陕西省,安康市,8984,234,0.033657,王,0.0876,陈,0.073687,张,0.07146,李,0.066118,刘,0.058771
6110,61,陕西省,商洛市,7487,244,0.039375,王,0.098304,刘,0.088553,李,0.08842,张,0.068385,陈,0.053426
6201,62,甘肃省,兰州市,8973,303,0.043466,王,0.126268,张,0.104759,李,0.072105,杨,0.048813,刘,0.047364
6202,62,甘肃省,嘉峪关市,721,115,0.04804,王,0.12344,张,0.101248,李,0.097087,刘,0.059639,杨,0.052705
6203,62,甘肃省,金昌市,2052,146,0.050906,张,0.131092,王,0.097953,赵,0.087232,李,0.064327,刘,0.057992
6204,62,甘肃省,白银市,6118,215,0.053069,王,0.135829,张,0.131252,李,0.087283,刘,0.046747,杨,0.046257
6205,62,甘肃省,天水市,10029,237,0.05067,王,0.140792,李,0.091335,张,0.088643,马,0.065011,刘,0.053644
6206,62,甘肃省,武威市,5217,197,0.045392,王,0.103891,张,0.102741,李,0.096799,杨,0.059804,刘,0.050604
6207,62,甘肃省,张掖市,5680,215,0.039571,王,0.10581,张,0.103521,李,0.073415,杨,0.046831,刘,0.045775
6208,62,甘肃省,平凉市,8380,225,0.042176,王,0.101551,李,0.089618,张,0.087709,刘,0.060263,马,0.054415
6209,62,甘肃省,酒泉市,5007,263,0.040918,王,0.115438,张,0.099061,李,0.080887,刘,0.045137,杨,0.040943
6210,62,甘肃省,庆阳市,10056,232,0.046976,张,0.123409,李,0.095963,王,0.095664,刘,0.065235,杨,0.052009
6211,62,甘肃省,定西市,8855,214,0.044962,王,0.110107,张,0.102541,李,0.098024,杨,0.054545,陈,0.046527
6212,62,甘肃省,陇南市,12148,243,0.049892,王,0.113599,张,0.10973,李,0.104297,赵,0.059187,杨,0.057952
6229,62,甘肃省,临夏回族自治州,7893,185,0.172998,马,0.397694,王,0.067148,张,0.059166,李,0.045357,赵,0.03142
6230,62,甘肃省,甘南藏族自治州,4580,142,0.161399,无,0.372489,杨,0.074891,李,0.072926,王,0.063537,马,0.050655
6301,63,青海省,西宁市,12304,339,0.047239,马,0.125813,李,0.105819,张,0.080055,王,0.074285,刘,0.04462
6321,63,青海省,海南藏族自治州,8854,237,0.068975,马,0.206799,李,0.092162,张,0.068444,王,0.066298,无,0.04834
6322,63,青海省,海北藏族自治州,1909,125,0.170532,无,0.33054,马,0.229439,张,0.054479,李,0.041383,王,0.03824
6323,63,青海省,黄南藏族自治州,1722,71,0.666818,无,0.81417,马,0.058072,李,0.012195,王,0.010453,张,0.006969
6325,63,青海省,海南藏族自治州,2736,126,0.422741,无,0.645833,王,0.038377,马,0.037646,张,0.031067,李,0.024488
6326,63,青海省,果洛藏族自治州,954,62,0.582932,无,0.762055,多萨,0.025157,马,0.023061,卡依,0.014675,李,0.01153
6327,63,青海省,玉树藏族自治州,1186,73,0.618755,无,0.785835,公巴,0.014334,考子,0.010961,代改,0.010961,巴红,0.010961
